,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
338,«Ջրառ»(ՓԲԸ) Դավիթ-Բեկի ջրամբար,Վերանայված,2024-02-02,2026-10-02,Հարավային,Քաշունի գետ՝ Դավիթ Բեկի ջրամբար,Մակերևութային,Սյունիք Կապան գ. Վերին Խոտանան,Սյունիք Կապան գ. Դավիթ Բեկ,ոռոգում,350.0,Տվյալ չկա,22.976,45.0,2.67,131.09
339,«Ջրառ»(ՓԲԸ) Արտաշատի ջրանցքի ջրալրում,Վերանայված,2024-02-02,2026-10-02,Արարատյան,Ազատ գետ՝ Ազատի ջրամբար,Մակերևութային,Արարատ Արտաշատ գ. Լանջազատ,"""Արարատ Արտաշատ գ. Լանջազատ","Արարատ Արտաշատ գ. Դիտակ""",25.92,2894,22.976,45.0,2.67,9.71
340,«Ջրառ»(ՓԲԸ) Արտաշատի ջրանցքի ջրալրում,Վերանայված,2024-02-02,2026-10-02,Արարատյան,Հրազդան գետ՝ ջրալրում Մխչյան պ/կ,Մակերևութային,Արարատ Արտաշատ գ. Դիտակ,Տվյալ չկա,ոռոգում,171890.0,Տվյալ չկա,22.976,45.0,2.67,64378.28
341,«Կապանի ԼՀԿ»(ՓԲԸ),Վերաձևակերպված,2024-01-29,2026-03-09,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,Նորաշենիկ գետ,391.82,12.0,2.11,12.28
342,«Կապանի ԼՀԿ»(ՓԲԸ),Վերաձևակերպված,2024-01-29,2026-03-09,Հարավային,Ողջի գետ,Մակերևութային,Սյունիք Կապան ք. Կապան; Սյունիք Կապան ք. Կապան,Սյունիք Կապան ք. Կապան,Արդյունաբերական,1966.89,կոյուղու կոլեկտոր,80.4,2.5,2.11,932.18
343,«Կապանի Ճ․Շ․Շ․»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-01-31,2027-01-31,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,Տվյալ չկա,25.92,ջրանթափանց հոր-կոյուղու կոլեկտոր,0.24,0.036,3.0,8.64
344,«Կապանի Ճ․Շ․Շ․»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-01-31,2027-01-31,Հարավային,Ողջի գետի հարևանությամբ և հոսքի ուղղությամբ գտնվող անանուն ջրեր,Մակերևութային,Սյունիք Կապան գ. Սյունիք,Սյունիք Կապան գ. Սյունիք,Խմելու-կենցաղային / Արդյունաբերական,28.74,Ողջի գետ,18.0,2.79,3.0,9.58
345,«Ագրոֆիրմա Սթար»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-02-01,2027-02-01,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Արարատ Մասիս գ. Հայանիստ,Արարատ Մասիս գ. Հայանիստ,Խմելու-կենցաղային / Ոռոգում և արդյունաբերական /խոզաբուծություն/,165.417,ջրանթափանց հոր-կոյուղու կոլեկտոր,58.806,3.74,3.0,55.14
346,«Վեոլիա Ջուր»(ՓԲԸ) ք. Երևան,Վերանայված,2024-01-31,2028-08-21,Հրազդան,Ձորաղբյուրի և Երևան ՀԷԿ-ի ջրաբյուրներ,Ստորերկրյա,Երևան Կենտրոն ; Երևան Կենտրոն,Երևան Շենգավիթ,Խմելու-կենցաղային / Արդյունաբերական,11326.12,Տվյալ չկա,22.976,45.0,4.56,2483.8
347,«Եղեգնաձորի պանրագործարան»(ԲԲԸ),Նոր,2024-02-01,2027-02-01,Արարատյան,1 գործող խորքային հոր.,Ստորերկրյա,Վայոց ձոր Եղեգնաձոր ք. Եղեգնաձոր,Տվյալ չկա,Արդյունաբերական /շշալցում/,3.0,քաղ. կոյուղու կոլեկտոր,0.379,0.053,3.0,1.0
348,«Պարկ գրուպ»(ՍՊԸ),Երկարաձգված,2024-02-09,2027-02-09,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Երևան Մալաթիա-Սեբաստիա,Երևան Մալաթիա-Սեբաստիա,ոռոգում,89.44,Տվյալ չկա,22.976,45.0,3.0,29.81
349,«Խաչի աղբյուր»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-02-12,2027-02-12,Հրազդան,Խաչաղբյուր և Սեզաղբյուր կոչվող բնական աղբյուրներ,Ստորերկրյա,Արագածոտն Ապարան գ. Վարդենուտ; Արագածոտն Ապարան գ. Վարդենուտ,Արագածոտն Ապարան գ. Վարդենուտ,Խմելու-կենցաղային / Արդյունաբերական /շշալցում/,169.983,ջրանթափանց հոր-կոյուղու կոլեկտոր,65.736,3.17,3.0,56.66
350,Նորման Էռնեստ Ռայտզ(Ֆիզ․ ԱՆՁ),Նոր,2024-02-12,2027-02-12,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Բյուրական,Արագածոտն Աշտարակ գ. Բյուրական,ոռոգում,1.228,Տվյալ չկա,22.976,45.0,3.0,0.41
351,Նորման Էռնեստ Ռայտզ(Ֆիզ․ ԱՆՁ),Նոր,2024-02-12,2027-02-12,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արագածոտն Աշտարակ գ. Բյուրական,Տվյալ չկա,ոռոգում,0.175,Տվյալ չկա,22.976,45.0,3.0,0.06
352,«Գազպրոմ Արմենիա»(ՓԲԸ) Մարտունու ԳԳՄ,Նոր,2024-02-13,2027-02-13,Սևան,1 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք Մարտունի ք. Մարտունի,Գեղարքունիք Մարտունի ք. Մարտունի,Խմելու-կենցաղային,0.99735,կոյուղու կոլեկտոր,0.89715,0.1,3.0,0.33
353,«Ստեփանավանի նորոգշին» ՍՊԸ(ՍՊԸ),Նոր,2024-02-14,2027-02-14,Հյուսիսային,ՈՒռուտ Ձորագետ գետի վտակ՝ Լոռվա ջրանցքով,Մակերևութային,Լոռի Ստեփանավան գ. Բովաձոր,Լոռի Ստեփանավան գ. Բովաձոր,Արդյունաբերական,24.63,ՈՒռուտ Ձորագետ գետի վտակ,19.885,2.158,3.0,8.21
354,«ՄԼ Մայնինգ»(ՍՊԸ),Վերանայված,2024-02-15,2027-01-09,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Մալաթիա-Սեբաստիա,Երևան Մալաթիա-Սեբաստիա,Արդյունաբերական,25.865,ջրանթափանց հոր-քաղ. կոյուղու կոլեկտոր,9.27,0.86,2.9,8.92
355,«ՄԼ Մայնինգ»(ՍՊԸ),Վերանայված,2024-02-15,2027-01-09,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Մալաթիա-Սեբաստիա,Տվյալ չկա,ոռոգում,10.56,Տվյալ չկա,22.976,45.0,2.9,3.64
356,«Ունիվերսալ»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-02-15,2027-02-15,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արարատ Մասիս գ. Դարբնիկ,Արարատ Մասիս գ. Դարբնիկ,Արդյունաբերական,110.88,Հրազդան գետ,95.239,13.23,3.0,36.96
357,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Գետիշեն գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Կարդ վտակ՝ Գեղի գետի,Մակերևութային,Սյունիք Քաջարան գ. Գետիշեն,Տվյալ չկա,ոռոգում,76.2,Տվյալ չկա,22.976,45.0,3.0,25.4
358,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Գետիշեն գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Կարդ վտակ՝ Գեղի գետի,Մակերևութային,Սյունիք Քաջարան գ. Գետիշեն,Սյունիք Քաջարան գ. Գետիշեն,Խմելու-կենցաղային,7.446,Տվյալ չկա,22.976,45.0,3.0,2.48
359,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Ձագիկավան գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Ձագեձոր վտակ՝ Ողջի գետի,Մակերևութային,Սյունիք Քաջարան գ. Ձագիկավան,Սյունիք Քաջարան գ. Ձագիկավան,Խմելու-կենցաղային,20.498,Տվյալ չկա,22.976,45.0,3.0,6.83
360,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Ձագիկավան գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Ձագեձոր վտակ՝ Ողջի գետի,Մակերևութային,Սյունիք Քաջարան գ. Ձագիկավան,Տվյալ չկա,ոռոգում,52.2,Տվյալ չկա,22.976,45.0,3.0,17.4
361,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Գեղի գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Գեղի գետի ձախակողմյան վտակ,Մակերևութային,Սյունիք Քաջարան գ. Գեղի,Տվյալ չկա,ոռոգում,134.64,Տվյալ չկա,22.976,45.0,3.0,44.88
362,Սյունիքի մարզ Քաջարան համայնք(ՏԻՄ) Գեղի գյուղ,Նոր,2024-02-13,2027-02-13,Հարավային,Գեղի գետի ձախակողմյան վտակ,Մակերևութային,Սյունիք Քաջարան գ. Գեղի,Սյունիք Քաջարան գ. Գեղի,Խմելու-կենցաղային,22.338,Տվյալ չկա,22.976,45.0,3.0,7.45
363,«ՄԼ Մայնինգ»(ՍՊԸ),Վերանայված,2024-02-15,2027-01-09,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Ավան,Տվյալ չկա,ոռոգում,10.56,Տվյալ չկա,22.976,45.0,2.9,3.64
364,«ՄԼ Մայնինգ»(ՍՊԸ),Վերանայված,2024-02-15,2027-01-09,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Ավան,Երևան Ավան,Արդյունաբերական,25.865,ջրանթափանց հոր-քաղ. կոյուղու կոլեկտոր,9.27,0.86,2.9,8.92
365,«Հով.Մել.Գրուպ»(ՍՊԸ),Նոր,2024-02-16,2027-02-16,Հյուսիսային,Տաք աղբյուրի ձոր բնական աղբյուր,Ստորերկրյա,Տավուշ Դիլիջան գ. Հովք,Տավուշ Դիլիջան գ. Հովք,շշալցում,4.291,Աղստև գետ,2.165,0.24,3.0,1.43
366,«Ագրո-Բիլդինգ»(ՍՊԸ),Երկարաձգված և Վերանայված,2024-02-16,2027-02-16,Հրազդան,Հրազդան գետ,Մակերևութային,Կոտայք Աբովյան գ. Պտղնի,Կոտայք Աբովյան գ. Պտղնի,Ձկնաբուծական,7884.004,Հրազդան գետ,7095.616,225.0,3.0,2628.0
367,«Կրիստալ ֆիշ»(ՍՊԸ),Վերանայված,2024-02-16,2027-02-16,Հրազդան,«Սիլվեր ֆիշ» ՍՊԸ-ից հեռացվող ջրեր,Ջրային Համակարգ,Արարատ Մասիս գ. Նորամարգ,Արարատ Մասիս գ. Նորամարգ,Ձկնաբուծական,6940.23,դրենաժային համակարգ՝ Սևջուր գետ,6246.209,198.0,3.0,2313.41
368,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լուկաշին գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լուկաշին,Արմավիր Արմավիր գ. Լուկաշին,ոռոգում,318.31,Տվյալ չկա,22.976,45.0,3.0,106.1
369,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լուկաշին գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լուկաշին,Տվյալ չկա,ոռոգում,227.216,Տվյալ չկա,22.976,45.0,3.0,75.74
370,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լուկաշին գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լուկաշին,Տվյալ չկա,ոռոգում,351.549,Տվյալ չկա,22.976,45.0,3.0,117.18
371,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լուկաշին գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,4 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լուկաշին,Տվյալ չկա,ոռոգում,135.0,Տվյալ չկա,22.976,45.0,3.0,45.0
372,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Խանջյան գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Խանջյան,Արմավիր Արմավիր գ. Խանջյան,ոռոգում,228.34,Տվյալ չկա,22.976,45.0,3.0,76.11
373,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արազափ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արազափ,Արմավիր Մեծամոր գ. Արազափ,ոռոգում,460.357,Տվյալ չկա,22.976,45.0,3.0,153.45
374,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Փշատավան գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Փշատավան,Արմավիր Մեծամոր գ. Փշատավան,ոռոգում,137.7,Տվյալ չկա,22.976,45.0,3.0,45.9
375,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Երասխահուն գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Երասխահուն,Արմավիր Մեծամոր գ. Երասխահուն,ոռոգում,180.157,Տվյալ չկա,22.976,45.0,3.0,60.05
376,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Վարդանաշեն գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Վարդանաշեն,Արմավիր Մեծամոր գ. Վարդանաշեն,ոռոգում,240.857,Տվյալ չկա,22.976,45.0,3.0,80.29
377,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Վարդանաշեն գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Վարդանաշեն,Արմավիր Մեծամոր գ. Վարդանաշեն,ոռոգում,192.642,Տվյալ չկա,22.976,45.0,3.0,64.21
378,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Վարդանաշեն գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Վարդանաշեն,Տվյալ չկա,ոռոգում,203.535,Տվյալ չկա,22.976,45.0,3.0,67.84
379,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Զարթոնք գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Զարթոնք,Տվյալ չկա,ոռոգում,222.357,Տվյալ չկա,22.976,45.0,3.0,74.12
380,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Զարթոնք գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Զարթոնք,Արմավիր Մեծամոր գ. Զարթոնք,ոռոգում,175.357,Տվյալ չկա,22.976,45.0,3.0,58.45
381,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ,Տվյալ չկա,ոռոգում,207.928,Տվյալ չկա,22.976,45.0,3.0,69.31
382,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ,Տվյալ չկա,ոռոգում,217.071,Տվյալ չկա,22.976,45.0,3.0,72.36
383,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ,Տվյալ չկա,ոռոգում,229.0,Տվյալ չկա,22.976,45.0,3.0,76.33
384,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ,Տվյալ չկա,ոռոգում,184.4785,Տվյալ չկա,22.976,45.0,3.0,61.49
385,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Եղեգնուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,5 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Եղեգնուտ,Արմավիր Մեծամոր գ. Եղեգնուտ,ոռոգում,275.714,Տվյալ չկա,22.976,45.0,3.0,91.9
386,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Տանձուտ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Տանձուտ,Արմավիր Մեծամոր գ. Տանձուտ,ոռոգում,175.0,Տվյալ չկա,22.976,45.0,3.0,58.33
387,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Նոր Արմավիր գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Նոր Արմավիր,Արմավիր Մեծամոր գ. Նոր Արմավիր,ոռոգում,175.0,Տվյալ չկա,22.976,45.0,3.0,58.33
388,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արազափ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արազափ,Արմավիր Մեծամոր գ. Արազափ,ոռոգում,196.6,Տվյալ չկա,22.976,45.0,3.0,65.53
389,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արտաշար գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արտաշար,Արմավիր Մեծամոր գ. Արտաշար,ոռոգում,217.714,Տվյալ չկա,22.976,45.0,3.0,72.57
390,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Արտաշար գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,2 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Արտաշար,Տվյալ չկա,ոռոգում,213.464,Տվյալ չկա,22.976,45.0,3.0,71.15
391,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Բամբակաշատ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Բամբակաշատ,Արմավիր Մեծամոր գ. Բամբակաշատ,ոռոգում,161.2,Տվյալ չկա,22.976,45.0,3.0,53.73
392,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Մեծամոր համայնքի Մրգաշատ գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Մեծամոր գ. Մրգաշատ,Արմավիր Մեծամոր գ. Մրգաշատ,ոռոգում,146.0,Տվյալ չկա,22.976,45.0,3.0,48.67
393,«ԱՐՄԱՎԻՐ»(ՋՕԸ) Արմավիր համայնքի Լենուղի գյուղ,Նոր,2024-02-20,2027-02-20,Ախուրյան,1 գործող խ․հ․,Ստորերկրյա,Արմավիր Արմավիր գ. Լենուղի,Արմավիր Արմավիր գ. Լենուղի,ոռոգում,137.36,Տվյալ չկա,22.976,45.0,3.0,45.79
394,«Կումայրի-1»(ԱԿ),Նոր,2024-02-19,2027-02-19,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Աբովյան գ. Բալահովիտ,Կոտայք Աբովյան գ. Բալահովիտ,ոռոգում,4.4,Տվյալ չկա,22.976,45.0,3.0,1.47
395,«Կոտայք»(ՋՕԸ) Նաիրի համայնքի Բուժական գյուղ,Նոր,2024-02-19,2027-02-19,Հրազդան,Արագետ՝ Բուժականի ջրհան կայանով,Մակերևութային,Կոտայք Նաիրի գ. Բուժական,Կոտայք Նաիրի գ. Բուժական,ոռոգում,201.039,Տվյալ չկա,22.976,45.0,3.0,67.01
396,«Կոտայք»(ՋՕԸ) Գառնի համայնքի Գառնի և Հացավան գյուղեր,Նոր,2024-02-19,2027-02-19,Հրազդան,Ազատ գետ՝ Գեղադիրի ջրհան կայանով,Մակերևութային,Կոտայք Գառնի գ. Գառնի,Տվյալ չկա,ոռոգում,660.317,Տվյալ չկա,22.976,45.0,3.0,220.11
397,«Կոտայք»(ՋՕԸ) Գառնի համայնքի Գառնի և Հացավան գյուղեր,Նոր,2024-02-19,2027-02-19,Հրազդան,Ազատ գետ՝ Գեղադիրի ջրհան կայանով,Մակերևութային,Կոտայք Գառնի գ. Գառնի,"""Կոտայք Գառնի գ. Գառնի","Կոտայք Գառնի գ. Հացավան""",25.92,19,22.976,45.0,3.0,8.64
398,«Սիս Նատուրալ»(ՓԲԸ),Երկարաձգված և Վերանայված,2024-02-20,2027-02-20,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Աջափնյակ,Երևան Աջափնյակ,Խմելու-կենցաղային / Արդյունաբերական,32.237,կոյուղու կոլեկտոր,22.63,2.15,3.0,10.75
399,«Վեոլիա Ջուր»(ՓԲԸ) ք. Երևան Կոտայքի մարզ Նոր Հաճըն և Նաիրի համայնքներ,Վերանայված,2024-01-31,2028-08-21,Հրազդան,Գյումուշի աղբյուրներ,Ստորերկրյա,Կոտայք Չարենցավան գ. Կարենիս,Տվյալ չկա,Խմելու-կենցաղային / Արդյունաբերական,1580.2,Տվյալ չկա,22.976,45.0,4.56,346.54
400,«Երևանի կոնյակի գործարան»(ՓԲԸ) Այգավանի մասնաճյուղի Բուրաստանի գինու կետ,Երկարաձգված,2024-02-22,2027-02-22,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Արտաշատ գ. Բուրաստան,Արարատ Արտաշատ գ. Բուրաստան,ոռոգում,0.554,Տվյալ չկա,22.976,45.0,3.0,0.18
401,Արսեն Հարությունյան Մնացականի(Ֆիզ․ ԱՆՁ),Նոր,2024-02-22,2027-02-22,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Սիս,Արարատ Մասիս գ. Սիս,Ձկնաբուծական,1577.191,դրենաժային համակարգ՝ Հրազդան գետ,1419.48,45.0,3.0,525.73
402,Արսեն Հարությունյան Մնացականի(Ֆիզ․ ԱՆՁ),Նոր,2024-02-22,2027-02-22,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Սիս,Տվյալ չկա,ոռոգում,324.024,Տվյալ չկա,22.976,45.0,3.0,108.01
403,«Գևորգ Մալոյան»(ԱՁ),Նոր,2024-02-22,2027-02-22,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Հովտաշատ,Արարատ Մասիս գ. Հովտաշատ,Ձկնաբուծական,1576.8,Հրազդան գետ,1419.122,45.0,3.0,525.6
404,«Թի Էս Քնսթրաքշն»(ՓԲԸ),Երկարաձգված,2024-02-22,2027-02-22,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Երևան Շենգավիթ,Երևան Շենգավիթ,Արդյունաբերական,31.752,Տվյալ չկա,22.976,45.0,3.0,10.58
405,«Արագածոտն»(ՋՕԸ),Նոր,2024-02-22,2027-02-22,Հրազդան,Ծիլքարի ջրամբար,Ջրային Համակարգ,Արագածոտն Ծաղկահովիտ գ. Լեռնապար,"""Արագածոտն Ծաղկահովիտ գ. Գեղարոտ","Արագածոտն Ծաղկահովիտ գ. Ծիլքար""",25.92,28.86,22.976,45.0,3.0,8.64
406,«Արագածոտն»(ՋՕԸ),Նոր,2024-02-22,2027-02-22,Հրազդան,Ամբերդ գետ՝ Ամբերդի մայր ջրանցք,Ջրային Համակարգ,Արագածոտն Աշտարակ գ. Օրգով,Տվյալ չկա,ոռոգում,393.588,Տվյալ չկա,22.976,45.0,3.0,131.2
407,«Արագածոտն»(ՋՕԸ),Նոր,2024-02-22,2027-02-22,Հրազդան,Ամբերդ գետ՝ Ամբերդի մայր ջրանցք,Ջրային Համակարգ,Արագածոտն Աշտարակ գ. Օրգով,Տվյալ չկա,ոռոգում,1710.384,Տվյալ չկա,22.976,45.0,3.0,570.13
408,«Արագածոտն»(ՋՕԸ),Նոր,2024-02-22,2027-02-22,Հրազդան,Ամբերդ գետ՝ Բյուրականի մայր ջրանցք,Ջրային Համակարգ,Արագածոտն Աշտարակ գ. Օրգով,"""Արագածոտն Աշտարակ գ. Բյուրական","Արագածոտն Աշտարակ գ. Անտառուտ""",25.92,293,22.976,45.0,3.0,8.64
409,«Աշնաղ»(ՍՊԸ),Երկարաձգված,2024-02-26,2027-02-26,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Չարենցավան գ. Արզական,Կոտայք Չարենցավան գ. Արզական,Արդյունաբերական,13.09,Հրազդան գետ,3.626,0.12,3.0,4.36
410,«Ջրառ»(ՓԲԸ) Զանգակատան ջրամբար,Վերանայված,2024-02-02,2026-10-02,Արարատյան,Չանախչի գետ՝ Զանգակատան ջրամբար,Մակերևութային,Արարատ Արարատ գ. Զանգակատուն,Արարատ Արարատ գ. Զանգակատուն,ոռոգում,2400.7,Տվյալ չկա,22.976,45.0,2.67,899.14
411,Դավիթ Սուքիասյան(Ֆիզ․ ԱՆՁ),Նոր,2024-03-05,2027-03-05,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք Նոր Հաճն գ. Գետամեջ,Կոտայք Նոր Հաճն գ. Գետամեջ,ոռոգում,4.752,Տվյալ չկա,22.976,45.0,3.0,1.58
412,Յու Էմ Ագրո(ՍՊԸ),Նոր,2024-03-05,2027-02-05,Ախուրյան,Արաքս գետի ազատ հոսքից ձևավորվող ջրեր / պոմպակայան/,Մակերևութային,Արմավիր Բաղրամյան գ. Երվանդաշատ; Արմավիր Բաղրամյան գ. Երվանդաշատ,"""Արմավիր Բաղրամյան գ. Երվանդաշատ","Արմավիր Բաղրամյան գ. Բագարան""",25.92,36.84,22.976,45.0,2.92,8.88
