,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
17,Տավուշի մարզ Կողբի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-04-09,2026-04-09,Հյուսիսային,2 գործող խորքային հոր,Ստորերկրյա,Տավուշ գ. Կողբ; Տավուշ գ. Կողբ,Տավուշ գ. Կողբ,Խմելու-կենցաղային,177.15,Տվյալ չկա,22.976,45.0,5.0,35.43
18,Գեղարքունիքի մարզ Վարդաձորի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-04-12,2026-04-12,Սևան,«Աղբյուրակներ» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք գ. Վարդաձոր,Տվյալ չկա,ջրարբիացում,25.56,Տվյալ չկա,22.976,45.0,5.0,5.11
19,Գեղարքունիքի մարզ Վարդաձորի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-04-12,2026-04-12,Սևան,«Աղբյուրակներ» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք գ. Վարդաձոր,Գեղարքունիք գ. Վարդաձոր,Խմելու-կենցաղային,433.255,Տվյալ չկա,22.976,45.0,5.0,86.65
20,Գեղարքունիքի մարզ Վարդաձորի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-04-12,2026-04-12,Սևան,«Աղբյուրակներ» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք գ. Վարդաձոր,Տվյալ չկա,ոռոգում,162.0,Տվյալ չկա,22.976,45.0,5.0,32.4
21,«Սոֆտեքս»(ՍՊԸ),Երկարաձգված,2021-04-14,2026-04-14,Հրազդան,2 գործող խորքային հոր.,Ստորերկրյա,Երևան Շենգավիթ ; Երևան Շենգավիթ ք. ԵՐԵՎԱՆ,Երևան Շենգավիթ,Արդյունաբերական,499.997,Քաղաքային կոյուղու կոլեկտոր,41.481,1.31,5.0,100.0
22,«Յունիոն»(ՍՊԸ),Երկարաձգված,2021-04-16,2026-04-16,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Երևան Նոր Նորք,Երևան Նոր Նորք,Խմելու-կենցաղային / Արդյունաբերական,36.428,քաղաքային կոյուղու կոլեկտոր,23.147,3.2,5.0,7.29
23,Շիրակի մարզ Ախուրյան համայնքի Կառնուտ բնակավայր(ՏԻՄ),Նոր,2021-04-19,2026-04-19,Ախուրյան,"""«Մեծ գյոլեր»","«Փոքր գյոլեր» աղբյուրներ""",Ստորերկրյա,Շիրակ Ախուրյան գ. Կառնուտ; Շիրակ Ախուրյան գ. Կառնուտ,Շիրակ Ախուրյան գ. Կառնուտ,25.92,2.3,22.976,45.0,5.0,5.18
24,«Արիկո-Գոռ»(ՓԲԸ),Երկարաձգված,2021-04-22,2026-04-22,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք գ. Արզնի,Կոտայք գ. Արզնի,Արդյունաբերական,150.1,Քաղաքային կոյուղու կոլեկտոր,67.0,2.12,5.0,30.02
25,Գարուշ Հակոբյան,Երկարաձգված,2021-04-22,2026-04-22,Արարատյան,Վեդի գետ թափվող սելավատարներից,Ջրային Համակարգ,Արարատ գ. Նարեկ; Արարատ գ. Նարեկ,Արարատ գ. Նարեկ,ոռոգում,100.0,Տվյալ չկա,22.976,45.0,5.0,20.0
26,«Գեղեցիկ Նարեկ» Ա/Կ,Երկարաձգված,2021-04-22,2026-04-22,Արարատյան,Վեդի գետ թափվող սելավատարներից,Ջրային Համակարգ,Արարատ գ. Նարեկ; Արարատ գ. Նարեկ,Արարատ գ. Նարեկ,ոռոգում,252.0,Տվյալ չկա,22.976,45.0,5.0,50.4
27,«ՀԱՏՄ»(ՍՊԸ),Երկարաձգված,2021-05-06,2026-05-06,Ախուրյան,1 գործող խորքային հոր.,Ստորերկրյա,Շիրակ գ. Մայիսյան,Շիրակ գ. Մայիսյան,Արդյունաբերական,4.284,Ախուրյան գետի վտակ,9.568,1.1,5.0,0.86
28,«Էլոլա»(ՓԲԸ),Երկարաձգված,2021-05-20,2026-05-20,Հարավային,«Ակներ» կոչվող բնական աղբյուր,Ստորերկրյա,Սյունիք գ. Ակներ,Սյունիք գ. Վերիշեն,Խմելու-կենցաղային / Արդյունաբերական,18.2,Վարարակն վտակ՝ Որոտան գետի,16.961,1.89,5.0,3.64
29,Ամերիկայի հայ ավետարանչական ընկերակցություն Հայաստանի մասնաճյուղ «Շողիկ» ճամբար,Երկարաձգված,2021-05-20,2026-05-20,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք գ. Փյունիկ,Կոտայք գ. Փյունիկ,Խմելու-կենցաղային,19.45,Հանքավան-Հրազդան կոյուղու կոլեկտոր,6.3,0.81,5.0,3.89
30,Շիրակի մարզ Լեռնակերտի համայնքապետարան(ՏԻՄ),Երկարաձգված,2021-05-21,2026-05-21,Ախուրյան,«Յայլա» կոչվող բնական աղբյուր,Ստորերկրյա,Շիրակ գ. Լեռնակերտ,Շիրակ գ. Լեռնակերտ,Խմելու-կենցաղային,154.6,Տվյալ չկա,22.976,45.0,5.0,30.92
